task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	96/d7a036	39528	GET_CHIP	COMPLETED	0	2025-11-06 21:20:05.297	1.8s	2s	-	-	-	-	-
1	74/6c7cc3	39537	GET_GTF	COMPLETED	0	2025-11-06 21:20:05.308	8.2s	8s	-	-	-	-	-
5	14/72d03d	39713	ANNOTATE_CHIP	COMPLETED	0	2025-11-06 21:20:13.566	5.9s	6s	-	-	-	-	-
4	51/066249	39542	GET_BULK	COMPLETED	0	2025-11-06 21:20:05.314	19.1s	19s	-	-	-	-	-
6	60/b29393	39854	BULK_DEG	COMPLETED	0	2025-11-06 21:20:24.457	17.4s	17s	-	-	-	-	-
3	78/8ccdf9	39530	GET_SCRNA	COMPLETED	0	2025-11-06 21:20:05.304	39.2s	39s	-	-	-	-	-
7	61/33f26c	40070	SCRNA_SIGNATURE	COMPLETED	0	2025-11-06 21:20:44.505	743ms	1s	-	-	-	-	-
8	57/9c59a8	40101	BUILD_REPORT	COMPLETED	0	2025-11-06 21:20:45.267	2.8s	3s	-	-	-	-	-
